VoidNumber Population Am01_Food Am02_Education Am03_ArtCulture Am04_PoliceFireSt Am05_Facilities Am06_ReciclingBins TotalAmenities latitude longitude
00 7366 22 5 0 0 14 9 50 48.20943 16.30825
01 9548 39 5 0 1 12 11 68 48.21207 16.31322
02 8023 42 4 0 1 14 12 73 48.21386 16.30874
03 10226 38 2 0 1 9 10 60 48.21437 16.31839
04 9904 48 5 1 0 3 11 68 48.21864 16.32212
05 8667 44 5 3 1 10 9 72 48.21483 16.32594
06 3615 5 6 0 0 13 6 30 48.22229 16.306
07 5809 17 1 0 1 13 6 38 48.22494 16.31466
08 2559 1 1 0 0 3 11 16 48.22917 16.29838
09 2815 2 1 0 0 4 13 20 48.23092 16.29476
010 1511 3 0 0 0 3 4 10 48.20584 16.28093
011 4819 16 0 0 1 3 5 25 48.19028 16.27147
012 2724 11 0 0 0 1 7 19 48.18771 16.26681
013 2016 2 1 0 0 0 6 9 48.20433 16.28934
014 3018 5 1 0 0 0 19 25 48.20116 16.29236
015 6323 10 6 0 0 0 23 39 48.19884 16.29421
016 3398 9 1 0 1 0 12 23 48.17707 16.28361
017 3210 2 1 0 0 6 20 29 48.17362 16.29461
018 2991 15 2 0 0 1 8 26 48.15082 16.26797
019 1347 1 0 0 0 0 3 4 48.13782 16.24497
020 3436 5 1 0 0 4 5 15 48.15035 16.34704
021 4998 9 0 1 0 5 14 29 48.1647 16.30511
022 19120 74 4 1 1 15 15 110 48.18079 16.33042
023 16826 41 1 0 1 5 13 61 48.17787 16.32575
024 5450 2 1 0 0 1 27 31 48.17556 16.31694
025 10922 13 0 0 1 1 27 42 48.17627 16.32194
026 7507 11 2 1 1 6 10 31 48.16293 16.32236
027 9067 27 5 3 0 7 12 54 48.18671 16.32274
028 13148 19 7 2 0 7 17 52 48.17807 16.33925
029 18472 41 9 2 1 13 19 85 48.18212 16.33896
030 16421 81 6 3 1 23 8 122 48.19313 16.33768
031 19557 61 6 2 1 17 19 106 48.18064 16.3339
032 16229 71 4 1 2 12 20 110 48.18287 16.32802
033 8584 57 12 3 1 8 23 104 48.17493 16.36852
034 6478 68 17 7 1 8 19 120 48.17807 16.36901
035 14719 82 7 3 1 18 11 122 48.17673 16.37649
036 12792 67 0 1 0 19 14 101 48.17345 16.37796
037 13260 26 6 0 1 7 21 61 48.1709 16.3685
038 10326 15 6 0 3 10 10 44 48.1725 16.40968
039 8367 16 2 0 1 7 13 39 48.16781 16.41898
040 7168 9 0 0 0 2 11 22 48.17368 16.42464
041 2189 2 0 0 0 3 5 10 48.15924 16.42764
042 19043 49 5 1 3 11 15 84 48.17616 16.41394
043 18343 4 1 1 0 11 7 24 48.17945 16.42085
044 2799 3 0 0 0 1 9 13 48.21447 16.52222
045 2815 7 3 0 0 3 2 15 48.21695 16.48824
046 3650 13 2 0 0 6 12 33 48.24874 16.44798
047 8031 11 2 0 0 10 13 36 48.22621 16.42433
048 12171 47 8 3 0 11 12 81 48.18588 16.35016
049 11516 66 8 1 1 6 6 88 48.18767 16.35534
050 15741 46 7 4 0 12 8 77 48.18723 16.34741
051 17147 123 7 7 2 27 10 176 48.19514 16.34821
052 20433 80 8 4 2 9 6 109 48.19115 16.35893
053 15669 84 10 4 2 4 8 112 48.19085 16.35488
054 16840 196 19 8 1 17 12 253 48.19799 16.36501
055 14246 47 7 0 1 10 16 81 48.19705 16.32329
056 16727 26 8 1 0 8 8 51 48.19392 16.31906
057 16613 88 6 4 2 25 10 135 48.19301 16.34064
058 18929 96 7 5 2 23 7 140 48.19407 16.34223
059 16354 65 10 5 1 12 6 99 48.19234 16.34703
060 16338 51 7 1 1 8 19 87 48.19822 16.33117
061 13887 80 7 6 1 21 17 132 48.20193 16.33507
062 9065 28 4 3 1 13 14 63 48.2098 16.32751
063 8160 50 2 5 2 23 8 90 48.20871 16.33326
064 8851 91 3 5 1 21 10 131 48.21344 16.3352
065 10002 69 9 3 1 12 14 108 48.21746 16.33084
066 24435 76 8 4 2 4 21 115 48.19737 16.40134
067 23781 72 12 1 1 6 25 117 48.19878 16.39137
068 24382 65 12 4 0 5 23 109 48.20157 16.39324
069 64821 47 13 2 0 5 14 81 48.20032 16.38229
070 34746 191 15 7 1 13 9 236 48.19963 16.37014
071 17241 123 7 8 2 31 5 176 48.20521 16.35672
072 14664 212 5 9 2 31 10 269 48.20241 16.35228
073 13757 185 8 9 2 33 9 246 48.20372 16.35434
074 12502 122 8 0 0 27 18 175 48.20758 16.34264
075 13542 119 8 0 1 21 14 163 48.20874 16.34528
076 12565 122 6 1 1 11 15 156 48.21109 16.34538
077 16668 124 19 3 2 15 6 169 48.21199 16.35385
078 18879 84 21 5 1 23 7 141 48.21063 16.3588
079 42784 127 27 2 2 19 10 187 48.21489 16.36027
080 4533 24 8 0 0 6 8 46 48.23421 16.32486
081 8439 24 18 0 1 4 34 81 48.22845 16.33569
082 1980 8 0 0 0 4 11 23 48.13775 16.40416
083 21566 63 4 1 0 10 11 89 48.22018 16.39992
084 15599 83 5 0 2 13 15 118 48.23228 16.37122
085 8300 50 2 0 1 8 9 70 48.23206 16.37641
086 16226 100 22 5 2 9 19 157 48.22177 16.36021
087 14589 56 9 2 0 10 18 95 48.23002 16.35694
088 6784 13 4 0 0 6 22 45 48.243 16.3372
089 30423 226 11 8 2 17 5 269 48.20489 16.36901
090 20486 87 10 7 2 26 0 132 48.20807 16.36358
091 85306 288 16 8 2 16 17 347 48.21228 16.37455
092 133066 94 9 2 0 3 11 119 48.203 16.37916
093 29097 16 3 0 1 13 10 43 48.24456 16.38078
094 2146 0 0 0 0 0 5 5 48.14782 16.37228
095 4029 3 0 1 0 1 13 18 48.16527 16.35734
096 3741 4 0 0 0 2 2 8 48.16794 16.39096
097 16991 13 2 4 0 8 13 40 48.25261 16.41043
098 14614 49 5 2 1 8 12 77 48.25657 16.39943
099 10012 12 4 1 0 4 3 24 48.26077 16.39098
0100 7918 15 4 0 0 0 7 26 48.26781 16.39079
0101 3975 12 3 0 0 1 8 24 48.2814 16.40759
0102 1927 1 2 0 1 4 5 13 48.29528 16.38942
0103 1849 9 0 0 0 3 2 14 48.3019 16.41002
0104 168 9 0 0 0 1 0 10 48.30859 16.40265
0105 2961 5 1 0 0 2 4 12 48.26343 16.44321
0106 1644 1 0 0 0 1 5 7 48.25138 16.49891
0107 3612 1 0 0 0 2 7 10 48.23457 16.45876
0108 7974 9 5 0 0 3 13 30 48.24955 16.36347
0109 1265 3 1 0 0 1 2 7 48.25094 16.3021
0110 2235 5 0 0 0 3 6 14 48.26031 16.35861
0111 811 0 0 0 0 0 4 4 48.27982 16.43883
0112 1730 0 0 0 0 0 12 12 48.21286 16.23912
0113 1449 3 0 0 0 5 9 17 48.25236 16.32144
0114 1557 14 0 0 0 3 7 24 48.25835 16.33791
0115 17100 3 2 2 0 3 13 23 48.15101 16.30622
0116 441 48.25931 16.48608
0117 6890 24 3 1 0 7 25 60 48.23899 16.43779
0118 7977 1 0 0 0 0 2 3 48.26554 16.42748
0119 4383 2 1 0 0 7 4 14 48.21987 16.46283
0120 6 48.24254 16.51917
0121 7366 22 5 0 0 14 9 50 48.20943 16.30825
