,activity,pose
0,looking through a telescope,upright
1,walking the dog,upright
2,writing on a book,sitting
3,cleaning the floor,upright
4,pushing a cart,upright
5,applauding,sitting
6,holding an umbrella,sitting
7,pushing a cart,upright
8,taking photos,sitting
9,texting message,upright
10,riding a bike,upright
11,fixing a bike,upright
12,taking photos,upright
13,reading,upright
14,walking the dog,upright
15,riding a bike,upright
16,waving hands,upright
17,jumping,sitting
18,waving hands,upright
19,holding an umbrella,upright
20,taking photos,upright
21,texting message,upright
