,activity,pose
0,applauding,upright
1,waving hands,upright
2,running,sitting
3,pushing a cart,sitting
4,watching tv,upright
5,drinking,upright
6,pushing a cart,upright
7,riding a bike,upright
8,pushing a cart,sitting
9,running,upright
10,pushing a cart,upright
11,jumping,upright
12,applauding,upright
13,drinking,sitting
14,waving hands,sitting
15,holding an umbrella,upright
16,phoning,upright
17,pushing a cart,upright
18,fixing a car,upright
19,playing violin,upright
20,drinking,upright
21,phoning,upright
22,fixing a bike,upright
23,running,upright
24,drinking,sitting
25,holding an umbrella,upright
26,reading,upright
27,taking photos,sitting
28,waving hands,upright
