,activity,pose
0,riding a bike,sitting
1,waving hands,upright
2,playing violin,upright
3,applauding,upright
4,pouring liquid,upright
5,playing violin,sitting
6,applauding,upright
7,playing violin,sitting
8,drinking,upright
9,texting message,sitting
10,reading,upright
11,taking photos,upright
12,pushing a cart,upright
13,cleaning the floor,upright
14,walking the dog,upright
15,fixing a car,upright
16,fishing,sitting
17,walking the dog,upright
18,pouring liquid,sitting
19,reading,upright
20,jumping,sitting
21,fixing a car,upright
22,running,upright
23,writing on a board,upright
24,riding a bike,upright
25,fixing a bike,sitting
26,riding a bike,sitting
27,riding a bike,upright
28,pushing a cart,upright
29,running,sitting
