,activity,pose
0,phoning,upright
1,waving hands,upright
2,waving hands,upright
3,applauding,upright
4,waving hands,upright
5,writing on a board,upright
6,reading,upright
7,drinking,upright
8,reading,sitting
9,drinking,sitting
10,riding a bike,upright
11,fixing a bike,upright
12,fixing a bike,upright
13,waving hands,upright
14,cooking,upright
15,reading,upright
16,applauding,upright
17,phoning,upright
18,pushing a cart,upright
19,using a computer,upright
20,climbing,upright
21,reading,sitting
22,reading,upright
