,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"@josef_broukal @LandauDaniel @SP_Wien Auf der Lände gibt es am Donaukanal eine ""Fairnesszone"", wo Radfahrende mit a… https://t.co/gX67a0UFX7"," _           _              ä                               ""            "",                     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,@blues_pablo @RadelnForFuture @d_sonnenbaum @SP_Wien @ullisima @BgmLudwig @SPOE_Diesel @SPOE_at @JosefTaucher… https://t.co/XjT3UXRgEr, _         _            _          _        _    …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,@blues_pablo @d_sonnenbaum @SP_Wien @ullisima @BgmLudwig @SPOE_Diesel @SPOE_at @JosefTaucher @NeosWien… https://t.co/J4fwTgMuXg, _       _            _          _        _      …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
3,RT @RadelnForFuture: @blues_pablo @d_sonnenbaum @SP_Wien @ullisima @BgmLudwig @SPOE_Diesel @SPOE_at @JosefTaucher @NeosWien Da Sie offensic…,  _       _            _          _        _                      …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
4,@blues_pablo @d_sonnenbaum @SP_Wien @ullisima @BgmLudwig @SPOE_Diesel @SPOE_at @JosefTaucher @NeosWien Bitte einfac… https://t.co/ojEaARqdlo, _       _            _          _        _                   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
5,@blues_pablo @d_sonnenbaum @SP_Wien @ullisima @BgmLudwig @SPOE_Diesel @SPOE_at @JosefTaucher @NeosWien Da Sie offen… https://t.co/buGjTAc4WZ, _       _            _          _        _                   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
6,@SimonTartarotti Wieso ist der Donaukanal bei diesen Infektionszahlen  nicht gesperrt frag ich dich?????,                                                                                    ?????,0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,@sebseebb ne lass lieber donauinsel boklu donaukanal brauch ma nicht hahaha,                                                                   ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
8,@sebseebb einmal donaukanal backflip geht sich aus,                                          ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
9,"@claudia80121 @wahlosttiroler Meinst du das Haus von Zaha Hadid am Donaukanal?
#wienzufussphotoblog https://t.co/Rh1DXCqLyj","                                                        ?
#                         :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
10,"@LeberkaesToupet @Martin_Moder @AlexHoaxmaster @TommyKrappweis Nö, das ist am Donaukanal 😉","   _           ö,                       😉",0.0,0.0,neutral,0.0,1.0,0.0,0.0
11,"@soulipat @joe_h_punkt @dernaro Sorry, aber das ist natürlich nicht so. Gleiches behauptet Stadt am Donaukanal. Blö… https://t.co/WKpgfL5p4T","   _ _             ,                 ü              .                                       .   ö…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
