,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,Konzert für die Ukraine – Stars spielen am Rathausplatz https://t.co/cXxpAMBwtH,         ü              –                                    :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,Gerade läuft ein FKT-Versuch auf dem Rheinsteig. René versucht die 320km mit 11000 Höhenmetern vom Schloss Biebrich… https://t.co/dLxCScEthl,        ä           -                          .    é                               ö                              …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,Ukraine-Konzert am Freitag auf Rathausplatz Wien - https://t.co/s7IZvnzwmC - Alles über Wien https://t.co/Zu3TAgR8kv,       -                                         -      :// .  /           -       ü              :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
3,"RT @mipiace_at: Besuch doch die https://t.co/wBdC9GSkOn am Wiener Rathausplatz!

Namhafte Aussteller und das beste Streetfood warten auf Di…","                      :// .  /                                 !

                                                          …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
5,"Besuch doch die https://t.co/wBdC9GSkOn am Wiener Rathausplatz!

Namhafte Aussteller und das beste Streetfood warte… https://t.co/vHLxh4Dzbz","                     :// .  /                                 !

                                                  …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
6,"@AndiSMonaco Viel Spaß in Aux. Wird voll sein im Zoo. Mach n Abstecher durch die Fuggerei, Klein Venedig, hoch zum… https://t.co/XHt8Wb1UzZ","          ß       .                      .                                    ,              ,         …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,Hat gerade ein Foto gepostet @ Wien Rathausplatz https://t.co/kIFVK6xjl4,                             @                        :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
8,"RT @ADFC_Wedel: So, 19.06.22, 11:45 Rathausplatz #Wedel: Start zur #Fahrradsternfahrt. Wir freuen uns auf prominente Mitradler, danke @anje…","   ,   .  .  ,   :                #     :           #                 .                                        ,        …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
9,"So, 19.06.22, 11:45 Rathausplatz #Wedel: Start zur #Fahrradsternfahrt. Wir freuen uns auf prominente Mitradler, dan… https://t.co/KtJeuUeY1Z","  ,   .  .  ,   :                #     :           #                 .                                        ,    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
10,@buzze Einweggrill Treffen auf'm Rathausplatz? Haben ja n Brunnen zum Löschen,                         '              ?                         ö     ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
11,"RT @PARTEILANDAU: Die PARTEI plakatiert...
#lgs #rathausplatz #landau #landauer #landauerer #obwahlld #uhl #lolspd #diepartei https://t.co/…","                      ...
#    #             #       #         #           #         #    #       #               :// .  /…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
13,"Die PARTEI plakatiert...
#lgs #rathausplatz #landau #landauer #landauerer #obwahlld #uhl #lolspd #diepartei https://t.co/7Hqcr3A4dN","                     ...
#    #             #       #         #           #         #    #       #               :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
14,"Zum Tagesabschluss: hab mir in Augsburg die Fuggerei, den Rathausplatz und den Dom angeschaut. Außerdem noch etwas… https://t.co/R7yGJkkRvo","                  :                                 ,                                        .   ß                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
15,"Also das geht mir sowas auf den punkti punkti punkti... Dienstag Nachmittag, die Hälfte der Parkplätze rund um den… https://t.co/ZseVa3pImx","                                                    ...                    ,      ä               ä               …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
16,RT @PLInst_Wien: Mit einer Auftaktveranstaltung in 🇵🇱 Warschau begann die europäische Eventserie „Gemeinsam für die 🇺🇦Ukraine – Life will W…,                                   🇵🇱                          ä                 „           ü      🇺🇦        –            …,0.0,0.0,neutral,0.0,1.0,0.0,0.0
18,Mit einer Auftaktveranstaltung in 🇵🇱 Warschau begann die europäische Eventserie „Gemeinsam für die 🇺🇦Ukraine – Life… https://t.co/DYcKi3nJco,                                  🇵🇱                          ä                 „           ü      🇺🇦        –     …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
19,Rathausplatz wird zur Spielwiese für Radler: Jetzt kann gepumpt werden https://t.co/FmPvZv1GHW,                                  ü        :                                :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
