,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"@MartinKutej Gute Frage: Österreicher nehmen aus unterschiedlichen Gründen Parteibücher, hören auf zu denken und la… https://t.co/Nr91LDA0YH","            : ö                                           ü            ü    ,  ö                        …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,"RT @VIEgoEU: Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Schließen der verbleibenden Kapitel der B…","                 ,   . .                            #         

🇪🇺 #                :       ß                                  …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,"RT @VIEgoEU: Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Kandidatenstatus für Georgien 🇬🇪

#Georgi…","                 ,   . .                            #         

🇪🇺 #                :                   ü           🇬🇪

#      …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,"RT @VIEgoEU: Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Start der Beitrittsverhandlungen mit Alba…","                 ,   . .                            #         

🇪🇺 #                :                                          …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
9,"RT @VIEgoEU: So, 19.6. ab 14 Uhr Heldenplatz Wien

Kundgebung vor dem EU-Gipfel für die nächsten Schritte im EU-Erweiterungsprozess. #enlar…","   ,   . .                           

                     -        ü       ä                     -                   . #     …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
10,"RT @VIEgoEU: Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Anerkennung von Kosovo 🇽🇰 durch 🇪🇸🇬🇷🇷🇴🇸🇰…","                 ,   . .                            #         

🇪🇺 #                :                        🇽🇰       🇪🇸🇬🇷🇷🇴🇸🇰…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
11,"RT @VIEgoEU: Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Kandidatenstatus Bosnien Herzegowina 🇧🇦…","                 ,   . .                            #         

🇪🇺 #                :                                      🇧🇦…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
12,"RT @VIEgoEU: Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Kandidatenstatus für die Ukraine 🇺🇦

#Ukr…","                 ,   . .                            #         

🇪🇺 #                :                   ü              🇺🇦

#   …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
14,"RT @VIEgoEU: Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Kandidatenstatus für Moldawien 🇲🇩

#Moldo…","                 ,   . .                            #         

🇪🇺 #                :                   ü            🇲🇩

#     …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
19,"RT @VIEgoEU: Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Start der Beitrittsverhandlungen mit Nord…","                 ,   . .                            #         

🇪🇺 #                :                                          …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
21,@GeraldGrosz Lieber Gerald!Erstens würde ich Dich gerne auf die nächste Demo (9.7.2022 Heldenplatz)einladen!Und zwe… https://t.co/aPuj8ypivs,               !         ü                            ä           ( . .                )        !       …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
23,"RT @VIEgoEU: Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Visa-Liberalisierung für Kosovo 🇽🇰

#Koso…","                 ,   . .                            #         

🇪🇺 #                :     -                 ü         🇽🇰

#    …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
41,"Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Anerkennung von Kosovo 🇽🇰 durc… https://t.co/Wiv9zFSU24","                ,   . .                            #         

🇪🇺 #                :                        🇽🇰     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
44,"Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Visa-Liberalisierung für Kosov… https://t.co/qg8PRw2BAK","                ,   . .                            #         

🇪🇺 #                :     -                 ü       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
46,"Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Schließen der verbleibenden Ka… https://t.co/goImpGnldS","                ,   . .                            #         

🇪🇺 #                :       ß                       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
48,"Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Start der Beitrittsverhandlung… https://t.co/OaeIn4Dy2f","                ,   . .                            #         

🇪🇺 #                :                               …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
50,"Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Start der Beitrittsverhandlung… https://t.co/d9hOmSf92f","                ,   . .                            #         

🇪🇺 #                :                               …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
53,"Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Kandidatenstatus Bosnien Herze… https://t.co/LBRG02jj0e","                ,   . .                            #         

🇪🇺 #                :                               …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
55,"Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Kandidatenstatus für Moldawien… https://t.co/krK2eL2suD","                ,   . .                            #         

🇪🇺 #                :                   ü           …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
58,"Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Kandidatenstatus für Georgien… https://t.co/9Oqfo5aIuU","                ,   . .                            #         

🇪🇺 #                :                   ü          …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
60,"Kundgebung am So, 19.6. ab 14 Uhr Heldenplatz Wien #enlargeEU

🇪🇺 #summit Next step: Kandidatenstatus für die Ukrai… https://t.co/5ilBumql3j","                ,   . .                            #         

🇪🇺 #                :                   ü           …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
66,"So, 19.6. ab 14 Uhr Heldenplatz Wien

Kundgebung vor dem EU-Gipfel für die nächsten Schritte im EU-Erweiterungsproz… https://t.co/rvAYccDB6X","  ,   . .                           

                     -        ü       ä                     -                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
67,am heldenplatz falco hören &gt;&gt;&gt;&gt;,                      ö    &  ;&  ;&  ;&  ;,0.0,0.0,neutral,0.0,1.0,0.0,0.0
68,„ALLES GUTE UND WIR SEHEN UNS AM HELDENPLATZ“: Rede von Konstantin Haslauer am 12.6.2022 in Steyr | KORREKTER!… https://t.co/i88OOrjqeK,„                                           “:                                   . .              |          !…      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
69,"RT @oeai_oeaw: Heute findet der letzte Vortrag der KHM-Reihe in diesem Jahr statt: 
Gudrun Styhler-Aydin 
»Volksversammlung, Agone und Glad…","                                        -                          : 
              -      
»                ,               …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
70,"Heute findet der letzte Vortrag der KHM-Reihe in diesem Jahr statt: 
Gudrun Styhler-Aydin 
»Volksversammlung, Agone… https://t.co/FwOb2QyjtC","                                       -                          : 
              -      
»                ,      …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
71,"RT @metropa: Live vom #austrianworldsummit am heldenplatz. Die @LPDWien hat uns leider wegkomplimentiert, aber wir drehen noch ne Runde mit…","          #                                  .                                       ,                                  …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
72,"Live vom #austrianworldsummit am heldenplatz. Die @LPDWien hat uns leider wegkomplimentiert, aber wir drehen noch n… https://t.co/aAeZMo6VEp","         #                                  .                                       ,                       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
73,RT @AignerKarl3: @Bluebird19601 Scheinheiliger Vollk..... Pro Selenskyj demos sind bei dir sicher ausgenommen bei euch. 70000 Leute im Happ…,                            .....                                                             .                    …,0.0,0.0,neutral,0.0,1.0,0.0,0.0
76,@GewerkschaftGPA Achtung: Der Treffpunkt hat sich geändert! Der neue Treffpunkt ist am Heldenplatz. Der Endpunkt ist das Finanzministerium.,         :                           ä     !                                       .                                       .,0.0,0.0,neutral,0.0,0.0,0.0,0.0
77,"@GeraldGrosz Servus Gerald! Vielleicht hast Du Lust und Zeit am 9.7.2022 nach Wien am Heldenplatz zu kommen!
Könnte… https://t.co/vlMqGEcCkW","               !                                      . .                                       !
 ö    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
78,@Bluebird19601 Scheinheiliger Vollk..... Pro Selenskyj demos sind bei dir sicher ausgenommen bei euch. 70000 Leute… https://t.co/tWc3fEILLV,                           .....                                                             .            …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
79,"RT @DietmarPichler1: Kundgebung, Event am 19. Juni in Wien (Heldenplatz)
#UkraineInEU 🇺🇦🇪🇺 https://t.co/ANgEVImn6I","           ,            .              (           )
#            🇺🇦🇪🇺      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
84,"@SZ @CathrinKahlweit Glaubt man tatsächlich das ein Politiker, der 1989 die Russen in einer Rede am Budapester Held… https://t.co/nM45ufFv3Q","                   ä                        ,                                                     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
85,RT @freunde_ephesos: Morgen findet der letzte Vortrag der KHM-Reihe in diesem Jahr statt. Gudrun Styhler-Aydin spricht über »Volksversammlu…,                                         -                          .               -              ü    »              …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
96,Morgen findet der letzte Vortrag der KHM-Reihe in diesem Jahr statt. Gudrun Styhler-Aydin spricht über »Volksversam… https://t.co/J1BF1aSmrt,                                        -                          .               -              ü    »           …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
107,"Kundgebung, Event am 19. Juni in Wien (Heldenplatz)
#UkraineInEU 🇺🇦🇪🇺 https://t.co/ANgEVImn6I","          ,            .              (           )
#            🇺🇦🇪🇺      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
108,"Kalbstatar / Tuna / Kapern / Frühlingslauch 

Whoop Whoop 🥳

#starter #finedining #tatar #yummy #hafencity #hamburg… https://t.co/PV1Y86g8mU","           /      /        /   ü            

            🥳

#        #           #      #      #          #       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
109,@LeoKohlbauer Nach einer Anti Corona Demo am Heldenplatz https://t.co/zNhvZKscM9,                                                  :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
110,am Heldenplatz ist grad so eine Miniausstellung weil ein Fotograf die Hunde vom Heldenplatz fotografiert hat und ic… https://t.co/H4m8YbkGuM,                                                                                                                   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
111,"weniger Angst mich anzustecken, als zum Beispiel in der Schule, oder in einem Kino, Theater, Restaurant usw .... ic… https://t.co/c30VTG80Zc","                              ,                               ,                   ,        ,                ....   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
112,"Gedicht wien : heldenplatz
https://t.co/E3WRNOhlMC #jandl #poem #art #lyrik #gedicht #kerber","             :            
     :// .  /           #      #     #    #      #        #      ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
113,"@SZ Glaubt man tatsächlich das ein Politiker, der 1989 die Russen in einer Rede am Budapester Heldenplatz zum verla… https://t.co/ycNWHfGQkz","                 ä                        ,                                                                      …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
114,"@janoschdahmen Hey Janosch, soll ich Dir mal was sagen? Es kommt die Zeit, wo Du Dir wünschen wirst, dass Du die Di… https://t.co/yIu5VKCYTX","             ,                           ?                  ,            ü            ,               …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
115,"@dr_larcher @zwitschgerl HaHa
kann mich noch an Putin in Wien erinnern 
Der ganze Heldenplatz war Sperrzone, dann g… https://t.co/Xu4hOuEifk"," _              
                                         
                                   ,       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
116,"@hashimotobelgie @spa_r_ky @SaMo989898 Ja, auch bei uns in Österreich. Da finden Demos mit zigtausenden Leuten stat… https://t.co/ExT82iNc7i","   _ _            ,                 ö         .                                             …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
