,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"@F_Wenninger @wienerlinien Stell mir das grad am Stephansplatz vor, wie Touris und Wiener Originale squaten 😂"," _                                                   ,                                         😂",0.0,0.0,neutral,0.0,0.0,0.0,0.0
1,Bullen machen Geschwindigkeitsmessungen und Rotlicht Fahrten Aufnahmen an haltestelle stephansplatz! #Hamburg #stephansplatz #Polizei #acab,                                                                                                   ! #        #              #        #    ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
2,Sinnbefreite Beschilderung am #Stephansplatz: kann das weg oder ist das #Fahrradstadt? @bvm_hh @OsterstrasseHH… https://t.co/fj0F9zTNUO,                              #             :                           #            ?  _    …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
3,"@Wursthansl999 @Robert_V_Schuh Ja sie solltns einfach in gekennzeichnete bereiche abstellen müssen, wenn er daneben… https://t.co/Q7CGGnLuYK","   _ _                                                                    ü    ,                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
4,seit wann hat man in der U1 zwischen stephansplatz und hauptbahnhof eigentlich 5G? 🤯 https://t.co/BYHRar3vEx,                                                                                 ? 🤯      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
5,Krieg so Geisteskrank Aggressionen wenn ich die Fiaker am Stephansplatz sehe meine fresse die armen Pferde,                                                                                                          ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
6,zu Beschlussdrucksache 0687/2022 „Ausbau der Geibelstraße zwischen Rudolf-von-Bennigsen-Ufer und Tiestestraße” hier… https://t.co/eoFIkFLg1N,                           /     „                     ß                 -   -         -                   ß ”     …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,"RT @PresseWien: Die Auftaktkundgebung, bestehend aus mehreren Redebeiträgen, wurde am Stephansplatz abgehalten. Unter den Teilnehmer*innen…","                      ,                                 ä   ,                                  .                     *     …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
10,"Die Auftaktkundgebung, bestehend aus mehreren Redebeiträgen, wurde am Stephansplatz abgehalten. Unter den Teilnehme… https://t.co/6qsjGhkcoh","                     ,                                 ä   ,                                  .                    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
11,"@pilzanja76 @ChrisBlank1109 @MMittermeier dann nur mit euromillionen gewinn,

ein wiener, der auch gern am stephansplatz a penthouse hätt,","                                             ,

          ,                                             ä  ,",0.0,0.0,neutral,0.0,0.0,0.0,0.0
12,@JoManola Schaut eh aus wie der Stephansplatz.,                                     .,0.0,0.0,neutral,0.0,0.0,0.0,0.0
13,Am Samstag wurde der Kultursommer in Emden gestartet – auf der neuen Bühne auf dem Stephansplatz. Nicht nur dort gi… https://t.co/tuujVdgt9t,                                                     –                ü                         .                  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
14,@ifkoparan stephansplatz 🤩,                🤩,0.0,0.0,neutral,0.0,0.0,0.0,0.0
15,@ruminat_ive @oggy4tw @LPDWien @IrmgardJaeger @VickySpielfrau Das unbedarfte Partyvolk ist auf der Pride. Leute die… https://t.co/wU66try1Ix, _                                                         .          …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
16,@Denis_Havlik @LPDWien Führt der Ring neuerdings über den Stephansplatz (jetzt mit f?) oder haben Sie etwas gegen D… https://t.co/31VmPkOpoh, _          ü                        ü                      (           ?)                             …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
17,"2. 1)  https://t.co/vdsO33oJcQ

2)  https://t.co/p02mLCJvNG

3) https://t.co/cXVgT4Rigu

Im Video zu sehen: Der Ang… https://t.co/82jqOiuYW6"," .  )       :// .  /          

 )       :// .  /          

 )      :// .  /          

                 :        …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
18,"@allesmittelgrau Die Antifa-Demo hat wohl die Schutzzone zur Anti-Pride-Demo der Homophoben nicht eingehalten

und… https://t.co/0l6fxaiNNd","            -                                     -     -                                     

   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
19,@WalchFabian Ihre Aussagen sind zutiefst menschenverachtend und diskriminierend. Schämen Sie sich! Mit so depperten… https://t.co/Aw2eFGIW2A,                                                                    .    ä            !                 …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
20,"RT @liberalville: Wien 11.06.22 - Wenns mal die richtigen trifft ...
#Stephansplatz #w1106 https://t.co/qvsYPg9d6l","        .  .   -                                ...
#              #           :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
21,"RT @liberalville: Hysterisches Rufen aus den Ecken der Steuergeld finanzierten ""Buntlinge"" die den Schutz der Familie als ""Nazi-Propaganda""…","                                                              ""         ""                                ""    -          ""…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
22,"Wien 11.06.22 - Wenns mal die richtigen trifft ...
#Stephansplatz #w1106 https://t.co/qvsYPg9d6l","       .  .   -                                ...
#              #           :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
23,"@wienerlinien
U1/U3 Stephansplatz. Einfach top! 👍🏼 https://t.co/H3u0oxTVlp"," 
  /                .            ! 👍🏼      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
25,RT @MichaelBonvalot: Die Route für den rechten Fundi-Aufmarsch in Wien ist am Stephansplatz von hunderten linken und queeren Aktivist*innen…,            ü                   -                                                                                *     …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
26,"RT @nofundis_wien: 🏳️‍🌈 ALERTA QUEER FEMINISTA! 🏳️‍🌈

🔥""Marsch für die Familie"" die Hölle heiß machen!🔥

📢 Samstag, 11. Juni 2022 
Treffpun…"," 🏳️‍🌈                       ! 🏳️‍🌈

🔥""        ü             ""      ö       ß       !🔥

📢        ,   .           
        …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
27,"RT @_schwarzeKatze: Der Stephansplatz, Austragungsort des christlich-Fundamentalistischen Marsches für die Familie, sieht aktuell so aus. #…","                  ,                              -                               ü             ,                     . #…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
28,"@hk_net ja, endlich wieder durchzugsverkehr auf der kärntnerstrasse. man könnt auch den alten plan wieder aufwärmen… https://t.co/1MEkvZiETN"," _      ,                                          ä             .      ö                                   ä    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,VP-Mahrer ad Wiederkehr: Vorstellung und Realität der Ereignisse in Wiener Innenstadt klaffen weit auseinander… https://t.co/efrU01aOax,  -                    :                       ä                                                              …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
30,RT @LPDWien: Am Stephansplatz werden Bild- und Tonaufnahmen durchgeführt. Sollten sich strafbare Handlungen ereignen werden diese zur Ausfo…,                             -                          ü   .                                                                  …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
