,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"In Hof (Bayern) sind es am 16.06.2022 um 13:57Uhr genau 23.2°C, gefühlt sind es 23°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,Ablauf: Hausamslerich hockt am Balkon und bedüdelt den Hof. Eine Jungamsel kräht nach Futter. Hausamslerich hopst e… https://t.co/7T9R6gwFgP,      :                                      ü            .                  ä              .                      …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,"In Hof (Bayern) sind es am 16.06.2022 um 12:57Uhr genau 21.8°C, gefühlt sind es 21°C. Aktuelles Wetter: 🌧  Leichter Regen. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : 🌧                . #        ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
3,"@FranzrebKlaus @BMVg_Bundeswehr @oleksiireznikov @KajsaOllongren Dann verkaufe Haus und Hof, kannste noch ein paar… https://t.co/kwrJj2F7Sp","   _                                         ,                      …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
4,"RT @nana_theater: Gestatten: Louis XIII, König von Frankreich. Und mein Hasi. Also, ihre Majestät, die Königin. 
Ab Freitag in der hinreiße…","          :           ,  ö                  .              .     ,            ä ,      ö     . 
                        ß …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
5,"In Hof (Bayern) sind es am 16.06.2022 um 12:01Uhr genau 20.7°C, gefühlt sind es 20°C. Aktuelles Wetter: ☀️  Klarer Himmel. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : ☀️               . #        ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
6,"#SRFClub: Debatte am Grill: Darf man Tiere essen? Ja, aber mit Mass, sagt Nils Müller. Der Biobauer tötet seine Küh… https://t.co/n70ZDQhwWC","#       :                 :                     ?   ,              ,            ü    .               ö           ü …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
7,#Kuhcontent anyone? Elisabeth Scharang hat nämlich ein Kalb namens Willi Resetarits und die beste Radiokuh ever get… https://t.co/r0Edu8gVBE,#                 ?                         ä                                                                      …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
8,"RT @ChristophSanta: Heute beginnen die Proteste von @AfD_ade_de gegen den AfD Parteitag in #Riesa!

19 Uhr - Kundgebung am Hotel Mercure
&amp;…","                                  _   _                              #     !

       -                            
&   ;…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
10,"Heute beginnen die Proteste von @AfD_ade_de gegen den AfD Parteitag in #Riesa!

19 Uhr - Kundgebung am Hotel Mercur… https://t.co/M3frUUG8bv","                                 _   _                              #     !

       -                           …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
11,"Aktuell: ""Polizei Landau in der Pfalz: Aufmerksame Bewohnerin verhindert Einbruch"" Sondernheim - Eine Anwohnerin au… https://t.co/Oi4KhQ1O0Y","       : ""                           :                                           ""             -                   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
12,"In Hof (Bayern) sind es am 16.06.2022 um 11:00Uhr genau 20.7°C, gefühlt sind es 20°C. Aktuelles Wetter: 🌧  Leichter Regen. #HofSaale","       (      )              .  .          :              . ° ,    ü              ° .                 : 🌧                . #        ",0.0,0.0,neutral,0.0,0.0,0.0,0.0
