,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"RT @Kid_Pex: Das am 20. Juni beginnende Asyl-Tribunal am Wiener Judenplatz zeigt, wie unser Land die Menschenrechte systematisch bricht. Mi…","          .                     -                                   ,                                                      .   …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
1,"RT @mariamayrhofer: Ich gehe am Montag zum Weltflüchtlingstag, gemeinsam mit @aufstehnat zur Demo gegen #Rassismus! Danach geht's zum #Asyl…","                              ü           ,                                #         !            '      #    …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
8,"Das am 20. Juni beginnende Asyl-Tribunal am Wiener Judenplatz zeigt, wie unser Land die Menschenrechte systematisch… https://t.co/WSHMZhPBKI","         .                     -                                   ,                                               …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
10,"Ich gehe am Montag zum Weltflüchtlingstag, gemeinsam mit @aufstehnat zur Demo gegen #Rassismus! Danach geht's zum… https://t.co/4CV1jMsgaG","                             ü           ,                                #         !            '     …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
11,"RT @WilfriedEmbach1: Nächste Woche am Judenplatz: Rechtsprechung nicht Im Namen der Republik, sondern über die Republik. Noch ist es nur ei…","  ä                         :                                           ,         ü                .                   …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
14,"Nächste Woche am Judenplatz: Rechtsprechung nicht Im Namen der Republik, sondern über die Republik. Noch ist es nur… https://t.co/9EHP8o5Co5"," ä                         :                                           ,         ü                .                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
15,"RT @vereinutebock: @msulzbacher Am Weltflüchtlingstag, an dem sich engagierte NGOs rund um die @MAsylpolitik mit einer Demo für die faire B…","            ü           ,                                                           ü             …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
16,"@msulzbacher Am Weltflüchtlingstag, an dem sich engagierte NGOs rund um die @MAsylpolitik mit einer Demo für die fa… https://t.co/zehHuTFSgu","           ü           ,                                                           ü        …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
17,RT @littlewisehen: Das Jüdische Museum Wien bringt bis 23. Oktober 2022 im Museum Judenplatz die in Vergessenheit geratene Geschichte des C…,      ü                                .                                                                                 …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
18,"4. Station - jüdisches Straßenfest am Judenplatz Wien, gute Stimmung - Gottes  auserwähltes Volk https://t.co/tbeM3F3m0Z"," .         -  ü            ß                         ,               -               ä                :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
19,"RT @LandauDaniel: Ah, endlich wieder! Das wunderbare jüdische Straßenfest, heute ab 14h am Judenplatz in Wien! 😍
Cu there? cc @RodgoldMD @s…","   ,               !                 ü           ß      ,                                   ! 😍
        ?       …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
20,Das Jüdische Museum Wien bringt bis 23. Oktober 2022 im Museum Judenplatz die in Vergessenheit geratene Geschichte… https://t.co/Cvri4y5oSg,     ü                                .                                                                           …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
24,"Ah, endlich wieder! Das wunderbare jüdische Straßenfest, heute ab 14h am Judenplatz in Wien! 😍
Cu there? cc… https://t.co/9OSlan38AS","  ,               !                 ü           ß      ,                                   ! 😍
        ?   …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
25,"RT @jewishmuseumVIE: Shabbat Shalom! Habt ein schönes
Wochenende. Reminder für alle Österreicher:innenam
Sonnatg ist Vatertag ☺️
#shabbat #…","               !             ö   
          .           ü       ö           :       
                     ☺️
#        #…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
27,"Shabbat Shalom! Habt ein schönes
Wochenende. Reminder für alle Österreicher:innenam
Sonnatg ist Vatertag ☺️… https://t.co/hyUJqXB0Eg","              !             ö   
          .           ü       ö           :       
                     ☺️…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
28,Jüdisches Straßenfest am Judenplatz  https://t.co/6c0vW7bH15, ü            ß                           :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,"Ausstellung „Endlich Espresso! Das Café Arabia am Kohlmarkt“, Jüdisches Museum Wien – Museum Judenplatz (Foto: © ÖN… https://t.co/v7pm01Q3Ts","            „                !        é                    “,  ü                    –                   (    : © ö …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
30,Jüdisches Straßenfest am Judenplatz #Sonntag #Wien https://t.co/pUjI2uoc9j, ü            ß                     #        #          :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
31,Jüdisches Straßenfest am Judenplatz https://t.co/8Op3JoDTFw, ü            ß                          :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
