,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"RT @WienTV: Am 13. Juni kam es zum bereits 15. #Femizid seit Jahresbeginn. Daher rufen #AlertaFeministaAustria, @CWienia &amp; @RadikaleLinkeAT…","      .                           . #                         .             #                      ,   &   ;  …",0.0,0.0,neutral,0.0,0.0,0.0,0.0
1,"RT @antifa_w: (DE)
Nehmt ihr uns eine*, antworten wir alle!
Keine* einzige* weniger!

+++Kundgebung: Sonntag, 19.06.2022, 18:30 Uhr, am ehe…"," (  )
                  *,                   !
     *        *        !

+++          :        ,   .  .    ,   :      ,       …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
5,"Am 13. Juni kam es zum bereits 15. #Femizid seit Jahresbeginn. Daher rufen #AlertaFeministaAustria, @CWienia &amp;… https://t.co/hrPgPgSXM6","     .                           . #                         .             #                      ,   &   ;…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
9,"RT @RadikaleLinkeAT: (DE)
Nehmt ihr uns eine*, antworten wir alle!
Keine* einzige* weniger!

+++Kundgebung: Sonntag, 19.06.2022, 18:30 Uhr,…"," (  )
                  *,                   !
     *        *        !

+++          :        ,   .  .    ,   :      ,…",0.0,0.0,neutral,0.0,1.0,0.0,0.0
16,verschiedene (dezentrale) Formen des Protests zu finden und möchten das Patriarchat auf unterschiedlichste Weisen a… https://t.co/GO1tFbfR4b,             (          )                                    ö                                                     …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
17,"(DE)
Nehmt ihr uns eine*, antworten wir alle!
Keine* einzige* weniger!

+++Kundgebung: Sonntag, 19.06.2022, 18:30 U… https://t.co/JUDzt6YkjN","(  )
                  *,                   !
     *        *        !

+++          :        ,   .  .    ,   :    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
18,verschiedene (dezentrale) Formen des Protests zu finden und möchten das Patriarchat auf unterschiedlichste Weisen a… https://t.co/4DUCpPwERP,             (          )                                    ö                                                     …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
19,"(DE)
Nehmt ihr uns eine*, antworten wir alle!
Keine* einzige* weniger!

+++Kundgebung: Sonntag, 19.06.2022, 18:30 U… https://t.co/h8pyo7BIS0","(  )
                  *,                   !
     *        *        !

+++          :        ,   .  .    ,   :    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
20,"@evazet Tschuldigung aber das ist doch zu 100% beabsichtigt. Man wolle ja nicht die ""Szene"" anlocken, die man regel… https://t.co/YfLnh7QBAo","                                       %             .                        ""     ""         ,              …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
21,"@KaiserUngarn 🤣🤣alles erledigt, auch das Steuergeld von der Straße 
rein/heim-getragen 🤷🏻‍♂️
🇦🇹🥰🥰🇦🇹 #wienliebe… https://t.co/keLCRKdy01","  🤣🤣              ,                                 ß  
    /    -         🤷🏻‍♂️
🇦🇹🥰🥰🇦🇹 #         …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
22,"An der Bibliothek am Karlsplatz in Wien.
📷 Uwe Gerig 2011. https://t.co/qEkpBMPfik","                                       .
📷               .      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
23,@frachtschiffsc1 @wienerlinien Station Karlsplatz. Intervall nach Oberlaa 9 Minuten? An einem Werktag?,                       .                                 ?                 ?,0.0,0.0,neutral,0.0,0.0,0.0,0.0
24,"Wenn dich Touris im #Stachus-Untergeschoss fragen, wie sie denn zum #Karlsplatz kommen... 😂

#justmunichthings #minga","                    #       -                    ,                  #                 ... 😂

#                 #     ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
25,RT @DLR_Stuttgart: Am 28. Juni findet am Karlsplatz ein Aktionstag rund um Lastenräder 🚴 statt. #wifest2022 Unteranderem sind Probefahrten…,      .                                                         ä    🚴      . #                                         …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
28,Heute geht's vom Karlsplatz zum Karlsplatz. 😁,          '                               . 😁,0.0,0.0,neutral,0.0,0.0,0.0,0.0
29,Am 28. Juni findet am Karlsplatz ein Aktionstag rund um Lastenräder 🚴 statt. #wifest2022 Unteranderem sind Probefah… https://t.co/iGuheWxlls,     .                                                         ä    🚴      . #                                     …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
30,@Claus_Pandi Und er käme von der Straße weg. #Karlsplatz, _              ä               ß     . #          ,0.0,0.0,neutral,0.0,0.0,0.0,0.0
31,@Lewu81774718 @TGaitzenauer @MariaEv99999 @grim_nir @dernaro Und die Gegend zwischen St. Pölten und Hütteldorf ist… https://t.co/dAZN9DhDRw,               _                                .  ö          ü            …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
32,"@gandi80 @joe_h_punkt @dernaro Hast du dich in das Prinzip ""Schwammstadt"" eingelesen? Das ist eine Bauweise, die du… https://t.co/PHMoxJuWxD","     _ _                                    ""            ""           ?                      ,       …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
33,Die @wienerlinien App führt mich vom Karlsplatz zum Rathaus und lässt mich dann zu Fuß bis hinters Parlaments zurüc… https://t.co/NGwDwcpCEB,           ü                                         ä                   ß                           ü …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
34,"2 Jahre Black Lives Matter in Wien!

Come and join, never forget!
 ""Am 18. Juni wollen wir gemeinsam ein Zeichen ge… https://t.co/jOpgD5aGY2","                                  !

             ,             !
 ""     .                                         …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
