,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,Czernohorszky: Wiener Wasser erfrischt im Sommer #Platz #Schwarzenbergplatz #Sommer #Wien https://t.co/tP6svozM3O,             :                                   #      #                   #       #          :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,RT @RadelnForFuture: Am Freitag findet der #NakedBikeRide statt. @originalcmvie führt die #CriticalMass unter dem Motto „bare as you dare“…,                       #                   .    ü        #                             „                “…,0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,Am Freitag findet der #NakedBikeRide statt. @originalcmvie führt die #CriticalMass unter dem Motto „bare as you dar… https://t.co/jH4sjDYK4G,                      #                   .    ü        #                             „               …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
3,"RT @NorbertKorn1: Heute Schwarzenbergplatz 8.45 Uhr, ob der Betroffene den Gutschein wohl bei einem Fototermin überreicht bekommt.... https…","                           .      ,                                                           ü                 ....      …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
5,"Heute Schwarzenbergplatz 8.45 Uhr, ob der Betroffene den Gutschein wohl bei einem Fototermin überreicht bekommt.... https://t.co/0DNdfQgOEl","                          .      ,                                                           ü                 ....      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
6,RT @DavidMillmann: Der @OEAMTC will einen Zwei-Richtungs-Radweg am #Rennweg vom #Schwarzenbergplatz an: das ist ja gar keine schlechte Idee…,                      -         -          #            #                     :                                    …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
7,"Platz für alle am Rennweg – ÖAMTC präsentiert Lösungsvorschlag mit Radweg (+ Video, +Fotos, +Grafik) #Belvedere… https://t.co/gDZLUrHyt0","       ü                  – ö       ä          ö                          (+      , +     , +      ) #         …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
8,Der @OEAMTC will einen Zwei-Richtungs-Radweg am #Rennweg vom #Schwarzenbergplatz an: das ist ja gar keine schlechte… https://t.co/JWoD2BZPKC,                     -         -          #            #                     :                               …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
9,"@christophschara Der ÖAMTC möchte sich in Zukunft mehr als ""Mobilitätsklub"" positionieren. Für den Rennweg will man… https://t.co/hym2w858jV","      ö      ö                              ""       ä      ""              .  ü                      …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
10,RT @genderklage: Wir starten die #NonBinaryAwarenessWeek mit Sichtbarkeit im öffentlichen Raum: Wo soll Wiens erster #nonbinary Zebrastreif…,                 #                                           ö                :                      #                     …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
11,"@ThomasPoebel Mmmm der am Hauptbahnhof Wien, mit gelbe Schrift.... schmeckt sooooo gut. Brot die man dort bekommt,… https://t.co/55wHEmb4Yz","                               ,                  ....                    .                          ,…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
12,"@sir_parish @MaxlWerner 1977 am Schwarzenbergplatz 🤗
Bin wohl ein Dinosaurier 😱😂😂😂"," _                                    🤗
                         😱😂😂😂",0.0,0.0,neutral,0.0,1.0,0.0,0.0
13,ÖAMTC: Behinderungen wegen Regenbogenparade in Wien #Handelskai #Parlament #Ring #Schwarzenbergplatz #Urania #Wien https://t.co/JowaDQ2vaB,ö    :                                              #           #          #     #                   #       #          :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
