,0,text,polarity,subjectivity,sentiment,neg,neu,pos,compound
0,"Vor Ort ist für alle Virtualitäten Platz @Q21_vienna 
https://t.co/5N9b0Xiq6W https://t.co/qScD0TU1VT","             ü                ä             _       
     :// .  /                :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
1,"RT @yviy1: #Candles4Assange🇦🇹 VIENNA

Vigil für #JulianAssange

MITTWOCH 15.06, 17-19 Uhr

**Karajan Platz bei der Oper**
   1010 WIEN

„Ic…"," #               🇦🇹       

       ü  #             

           .  ,   -      

**                          **
            

„  …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
2,"RT @Germany4Assange: ⏳ Mahnwache via #Candles4Assange🇦🇹 VIENNA⏳

Mahnwache für #JulianAssange 

Wann?
Mittwoch, 15.06.2022
17:00 - 19:00 Uh…"," ⏳               #               🇦🇹       ⏳

           ü  #              

    ?
        ,   .  .    
  :   -   :     …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
22,"#Candles4Assange🇦🇹 VIENNA

Vigil für #JulianAssange

MITTWOCH 15.06, 17-19 Uhr

**Karajan Platz bei der Oper**
   1… https://t.co/KbXELu5d5Y","#               🇦🇹       

       ü  #             

           .  ,   -      

**                          **
    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
28,"⏳ Mahnwache via #Candles4Assange🇦🇹 VIENNA⏳

Mahnwache für #JulianAssange 

Wann?
Mittwoch, 15.06.2022
17:00 - 19:00… https://t.co/mXIJA0G6Gk","⏳               #               🇦🇹       ⏳

           ü  #              

    ?
        ,   .  .    
  :   -   :  …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
29,@Mimi95225930 @OEsfandiary @RusBotWien @RusConsSalzburg @mission_rf @armscontrol_rus @RF_OSCE @Amb_Ulyanov… https://t.co/VmLRvniavQ,                _    _     _      _       …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
30,Vienna Pride: Über 250.000 bei 26. Wiener Regenbogenparade #Platz #Wien https://t.co/9lN6QNwfLk,            : ü       .          .                         #      #          :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
31,RT @MichaelBonvalot: Am Wiener Stephansplatz soll heute der rechts-katholische “Marsch für die Familie” stattfinden – als Gegenveranstaltun…,                                              -            “        ü             ”             –                      …,0.0,0.0,neutral,0.0,0.0,0.0,0.0
36,@nofundis_wien @anarchismus_at Am Wiener Stephansplatz soll heute der rechts-katholische “Marsch für die Familie” s… https://t.co/SAbqjDXdnv, _      _                                                -            “        ü             ”  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
37,@piratgizmo @msulzbacher @_schwarzeKatze @rosaantifawien @antifa_wienwest Am Wiener Stephansplatz soll heute der re… https://t.co/IuLmXFVIQt,    @_                 _                                                  …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
39,Am Wiener Stephansplatz soll heute der rechts-katholische “Marsch für die Familie” stattfinden – als Gegenveranstal… https://t.co/nTsbECBQYo,                                             -            “        ü             ”             –                   …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
40,@Flausensieb @caltf4 Dieser Platz ist ausschließlich für Vierbeiner gestattet 😂,                               ß      ü                       😂,0.0,0.0,neutral,0.0,0.0,0.0,0.0
41,"RT @Candles4Assange: 🇦🇹VIENNA

🔥WED 1 JUNE 2022
🔥WED 8 JUNE 2022
🔥WED 15 JUNE 2022
🔥WED 22 JUNE 2022
🔥WED 29 JUNE 2022 
🔥WED 6 JULY 2022
Ka…"," 🇦🇹      

🔥               
🔥               
🔥                
🔥                
🔥                 
🔥               
  …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
42,"@_roger__roger Wir sind stolz darauf, offiziell die „Vienna Pride“ und die österreichische LGBTQ+ Community zu unte… https://t.co/7No5Lgyhcx","@_     __                           ,               „            “         ö                    +                  …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
43,auf 1. Platz... #icca #internationalCongressAndConventionAssociation #meetingDestination #wien #vienna #messe… https://t.co/Jx8mEGcKJH,     .      ... #     #                                              #                   #     #       #     …      :// .  /          ,0.0,0.0,neutral,0.0,1.0,0.0,0.0
44,"@its_kinch Wir sind stolz darauf, offiziell die „Vienna Pride“ und die österreichische LGBTQ+ Community zu unterstü… https://t.co/sv3aD1nYY1"," _                           ,               „            “         ö                    +                     ü…      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
45,"@kerno666 Wir sind stolz darauf, offiziell die „Vienna Pride“ und die österreichische LGBTQ+ Community zu unterstüt… https://t.co/FkYayEQrEF","                          ,               „            “         ö                    +                     ü …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
46,"@goodfellavienna Wir sind stolz darauf, offiziell die „Vienna Pride“ und die österreichische LGBTQ+ Community zu un… https://t.co/sIc7kqk2Ux","                       ,               „            “         ö                    +                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
47,"RT @yviy1: #Candles4Assange🇦🇹 VIENNA

Vigil für #JulianAssange

MITTWOCH 08.06, 17-19 Uhr

**Karajan Platz bei der Oper**
   1010 WIEN

„Ic…"," #               🇦🇹       

       ü  #             

           .  ,   -      

**                          **
            

„  …",0.0,0.0,neutral,0.0,1.0,0.0,0.0
51,"@shogunsadvocate Wir sind stolz darauf, offiziell die „Vienna Pride“ und die österreichische LGBTQ+ Community zu un… https://t.co/hWKaSjTqup","                       ,               „            “         ö                    +                …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
53,"@melonioantonio Wir sind stolz darauf, offiziell die „Vienna Pride“ und die österreichische LGBTQ+ Community zu unt… https://t.co/R5mN8IeQ4U","                       ,               „            “         ö                    +                 …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
64,"#Candles4Assange🇦🇹 VIENNA

Vigil für #JulianAssange

MITTWOCH 08.06, 17-19 Uhr

**Karajan Platz bei der Oper**
   1… https://t.co/bSVlZKm8fI","#               🇦🇹       

       ü  #             

           .  ,   -      

**                          **
    …      :// .  /          ",0.0,0.0,neutral,0.0,1.0,0.0,0.0
